author,comment,likes,published_at
@BangJago-w8o,Semangat bang,0,2025-12-21T10:16:54Z
@sulastrisulastri9945,"Empati,perjuangan dan pengorbanan  ferry irwandi bersama tim.relawan...salut,bangga n terimakasih kpd anda smua n para donatur seluruh indonesia
Fakta kondisi yg ada begini menyedihkan..Yaa Allah sampai kpn mereka dlm derita begini? Nyesek.....",0,2025-12-21T04:20:36Z
@sulastrisulastri9945,Astaghfirullah..bensin 5 liter 1 juta.sudah kondisi susah n menderita apa2 mahal.menjerit n menangis...ini faktanya...,0,2025-12-21T04:14:33Z
@DheenaDhe,Masya Allah Mas Fery Afandi Aku hanya bisa bantu DOA semoga Allah balas semua perjuangan nya bersama teem di Dunia Hingga Akherat nya,0,2025-12-21T02:32:27Z
@fath22yyyy,"ya alloh... angkat semua kesulitannya, aamiin...",0,2025-12-21T00:22:24Z
@muhamadilham3804,gw ga kebayang gmn rasanya ketika udah ada di tempat tersebut,1,2025-12-20T14:56:14Z
@KarsimalfaroKarsimalfaro,Lihatlah matamu parapejabat saudarakita yg kenamusiba banjir mulutmu Janggan ngacorsaja cepatdibatu inidiakibatkan kerakussan keserakaan parapejabat yg rakus matamu sudamelek apabelum pecabat yg prilakunya seperti celeng kamukualat biadab anjing kamu asuuu,0,2025-12-20T09:54:51Z
@legends4605,"berat bgt kerjanya, semoga semua diberi Allah kekuatan dan kesehatan",0,2025-12-20T09:54:28Z
@tutadivokalisomangsayang,Semoga mas Fery dan kru sehat selalu,0,2025-12-20T09:35:17Z
@JalalLudin-s8h,Gue aki2 aki2 banget mks mas irwadi anda pelopor anak muda yg dpt di andalkan trimakasih nak biarkan para termul pada full ngumpul di solo nguras air mata buat Jokowi yg ijasah nya skrg sudah asli biarkan para TERMUL  bekerja sampai th 2029 bravo nak Irwandi moga2 nak Irwandi sehat slalu bersama relawan yg sebenar2 relawan,0,2025-12-20T06:52:03Z
